distance,dB,speed,,station,code,station distance
5520,44.6,38.5,,,,
5530,45.6,41.3,,,,
5540,46.6,44.3,,,,
5550,48.3,45.2,,,,
5560,47.6,46,,,,
5570,47.1,46.7,,,,
5580,47.1,47.5,,,,
5590,46.4,48.4,,,,
5600,45.8,49.2,,,,
5610,46.1,50.1,,,,
5620,47.6,50.7,,,,
5630,50.5,51.3,,,,
5640,53.3,52,,,,
5650,54.8,52.4,,,,
5660,54.6,53,,,,
5670,53.6,53.5,,,,
5680,53.3,53.9,,,,
5690,54.6,54.1,,,,
5700,56.7,54.3,,,,
5710,58.4,54.1,,,,
5720,59.6,54.1,,,,
5730,60.6,53.7,,,,
5740,61.3,53.5,,,,
5750,60.4,53.3,,,,
5760,58.4,53.1,,,,
5770,56.2,53.3,,,,
5780,54.6,53.7,,,,
5790,53.4,53.9,,,,
5800,52.2,54.1,,,,
5810,51.1,54.3,,,,
5820,49.9,54.3,,,,
5830,49,53.9,,,,
5840,48.7,53.5,,,,
5850,49.2,53,,,,
5860,51.7,52.8,,,,
5870,55.5,52.8,,,,
5880,58.2,53.1,,,,
5890,58.7,53.7,,,,
5900,57.9,54.1,,,,
5910,57.7,54.3,,,,
5920,58.2,54.3,,,,
5930,58.4,54.1,,,,
5940,59.1,53.7,,,,
5950,59.6,53.3,,,,
5960,60.4,53,,,,
5970,60.9,53,,,,
5980,60.8,53.3,,,,
5990,59.9,53.9,,,,
6000,59.1,54.8,,,,
6010,58,55.8,,,,
6020,57.4,57.3,,,,
6030,56.9,58.2,,,,
6040,56.3,59.4,,,,
6050,55.7,60.1,,,,
6060,54.3,60.9,,,,
6070,52.9,61.8,,,,
6080,52.2,62.4,,,,
6090,52.2,62.9,,,,
6100,52.8,63.5,,,,
6110,53.4,63.9,,,,
6120,54,64.4,,,,
6130,54.3,65,,,,
6140,54.1,65.4,,,,
6150,54.1,65.8,,,,
6160,55,66.1,,,,
6170,55.8,66.5,,,,
6180,56.7,67.1,,,,
6190,57.2,67.4,,,,
6200,57.2,67.8,,,,
6210,57,68,,,,
6220,56.7,68.4,,,,
6230,56.7,68.6,,,,
6240,56.9,69.3,,,,
6250,57.7,69.9,,,,
6260,58.7,70.6,,,,
6270,60.1,71.4,,,,
6280,60.9,72.3,,,,
6290,61.1,73.1,,,,
