distance,dB,speed,,station,code,station distance
9023.653,84.13,80.1,,,,
9066.792,83.42,78.8,,,,
9108.459,88.24,76.5,,,,
9148.709,88.45,73.5,,,,
9188.57,84.39,71.4,,,,
9228.431,83.62,72.1,,,,
9267.681,81.86,71.4,,,,
9305.987,84.14,69.9,,,,
9343.459,84.06,68,,,,
9381.07,83.48,66.9,,,,
9419.514,83.44,68.5,,,,
9458.264,84.18,69.9,,,,
9496.848,85.32,69.6,,,,
9535.209,84.15,69.3,,,,
9573.348,84.14,68.8,,,,
9611.653,83.79,68.5,,,,
9650.237,84.81,69.4,,,,
9688.653,84.75,69.5,,,,
9726.57,85.43,68.8,,,,
9763.931,84.9,67.7,,,,
9800.653,84.21,66.8,,,,
9836.598,83.18,65.4,,,,
9871.348,82.25,64,,,,
9904.292,79.18,61.1,,,,
9935.042,77.55,57.5,,,,
9963.07,76.23,53.2,,,,
9987.903,75.6,47.7,,,,
10009.376,73.99,41.7,,,,
10027.431,69.74,35.6,,,,
10042.042,68.44,29.4,,,,
10053.459,66.22,23.2,,,,
10062.82,64.83,17.9,,,,
10070.709,63.73,15.8,,,,
10076.959,62.76,12.6,,,,
10081.626,62.64,9.9,,,,
10084.709,62.89,6.9,,,,
10086.376,69.58,4.2,,,,
10086.876,71.86,1.8,,,,
10088.951,69.2,0,,,,
10088.951,67.48,0,,,,
10088.951,70.77,0,,,,
10088.951,66.22,0,,,,
10088.951,61.82,0,,,,
10088.951,62.02,0,,,,
10088.951,62.7,0,,,,
10088.951,62.14,0,,,,
10088.951,62.1,0,,,,
10088.951,62.59,0,,,,
10088.951,60.59,0,,,,
10088.951,60.46,0,,,,
10088.951,60.55,0,,,,
10088.951,60.27,0,,,,
10088.951,60.32,0,,,,
10088.951,60.29,0,,,,
10088.951,60.54,0,,,,
10088.951,60.25,0,,,,
10088.951,62.25,0,,,,
10088.951,62.22,0,,,,
10088.951,64.71,0,,,,
10089.645,68.18,0,,,,
10092.923,74.89,2.5,,,,
10099.979,75.14,9.3,,,,
10110.84,78.09,16.1,,,,
10125.507,80.17,23,,,,
10144.007,81.28,29.8,,,,
10166.284,82.54,36.8,,,,
10191.812,82.86,43.4,,,,
10219.395,83.21,48.5,,,,
10248.229,84.28,50.8,,,,
10278.312,84.49,53,,,,
10309.673,84.1,55.3,,,,
10342.507,85.61,57.6,,,,
10376.868,87.03,60.6,,,,
10412.507,86.73,63.1,,,,
10449.007,85.03,65.2,,,,
10486.395,85.35,66.2,,,,
10524.368,83.85,68.4,,,,
10562.423,85.18,68.3,,,,
10600.729,85.16,68.7,,,,
10638.895,86.17,69.2,,,,
10675.534,83.18,68.2,,,,
10709.451,78.78,63.7,,,,
10740.423,76.03,58.4,,,,
10768.312,74.34,53.1,,,,
10792.951,74.22,47.3,,,,
10814.395,71.51,41.4,,,,
10832.729,71.51,35.8,,,,
10848.09,67.75,30.2,,,,
10860.701,65.47,25.1,,,,
10871.062,64.09,20.3,,,,
10879.868,62.88,17,,,,
10887.173,61.99,14.7,,,,
10892.812,60.94,11.6,,,,
10896.923,60.3,8.7,,,,
10899.59,60.93,6.1,,,,
10900.951,68.54,3.5,,,,
10901.34,71.49,1.4,,,,
10903.112,68.16,0,,,,
10903.112,63,0,,,,
10903.112,62.64,0,,,,
10903.112,62.36,0,,,,
10903.112,62.28,0,,,,
10903.112,63.08,0,,,,
10903.112,70.73,0,,,,
10903.112,67.43,0,,,,
10903.112,60.36,0,,,,
10903.112,60.24,0,,,,
10903.112,61.44,0,,,,
10903.112,60.49,0,,,,
10903.112,60.7,0,,,,
10903.112,60.7,0,,,,
10903.112,60.43,0,,,,
10903.112,61.16,0,,,,
10903.112,61.62,0,,,,
10903.112,61.9,0,,,,
10903.112,61.85,0,,,,
10903.112,63.43,0,,,,
10903.112,63.24,0,,,,
10903.112,65.4,0,,,,
10903.695,67.82,0,,,,
10906.751,74.42,2.1,,,,
10913.529,75.3,8.9,,,,
10924.056,77.85,15.5,,,,
10938.445,79.15,22.4,,,,
10956.64,81.45,29.4,,,,
10978.584,83.9,36.1,,,,
11004.279,83.88,42.9,,,,
11033.529,85.18,49.6,,,,
11065.695,85.62,55.7,,,,
11099.556,84.46,60.1,,,,
11134.334,84.63,61.8,,,,
11169.973,85.77,63.4,,,,
11206.501,86.51,64.9,,,,
11243.89,86.58,66.6,,,,
11281.945,87.06,68,,,,
11320.39,86.59,69,,,,
11359.418,87.72,69.4,,,,
11399.418,88.04,71.1,,,,
11440.084,86.61,72.9,,,,
11481.195,86.01,73.5,,,,
11522.584,86.26,74.5,,,,
11563.945,87.65,74.5,,,,
11605.251,89.36,74.4,,,,
11646.556,88.94,74.3,,,,
11687.89,89.13,74.4,,,,
11729.195,87.73,74.4,,,,
11770.445,88.25,74.3,,,,
11811.695,87.35,74.2,,,,
11852.945,88.12,74.3,,,,
11894.056,87.92,74.2,,,,
11934.084,86.11,73.8,,,,
11971.834,84.03,70.3,,,,
12006.918,81.94,65.6,,,,
12039.195,80.48,60.7,,,,
12068.473,77.67,55.5,,,,
12094.556,75.91,49.9,,,,
12117.501,74.84,44,,,,
12137.418,72.08,38.6,,,,
12154.306,68.8,33.1,,,,
12168.334,67.35,27.7,,,,
12179.834,66.29,22.8,,,,
12189.473,66.13,18.6,,,,
12197.612,65.34,16.1,,,,
12204.14,64.89,13.2,,,,
12209.056,64.72,10.3,,,,
12212.445,65,7.4,,,,
12214.39,65.07,4.8,,,,
12215.084,72.45,2.2,,,,
12215.168,73.11,0.3,,,,
12218.189,69.91,0,,,,
12218.189,71.76,0,,,,
12218.189,67.72,0,,,,
12218.189,64.28,0,,,,
12218.189,65.09,0,,,,
12218.189,65.09,0,,,,
12218.189,64.4,0,,,,
12218.189,64.8,0,,,,
12218.189,64.61,0,,,,
12218.189,64.31,0,,,,
12218.189,65.08,0,,,,
12218.189,64.75,0,,,,
12218.189,64.82,0,,,,
12218.189,65.09,0,,,,
12218.189,65.02,0,,,,
12218.189,64.25,0,,,,
12218.189,65.28,0,,,,
12218.189,64.98,0,,,,
12218.189,64.91,0,,,,
12218.189,64.69,0,,,,
12218.189,64.81,0,,,,
12218.189,64.72,0,,,,
12218.189,65.51,0,,,,
12218.189,65.35,0,,,,
12218.189,66.81,0,,,,
12218.689,68.64,0,,,,
12221.55,74.75,1.8,,,,
12228.133,76.92,8.5,,,,
12238.439,75.95,15.2,,,,
12252.578,77.1,21.9,,,,
12270.578,79.58,29,,,,
12292.3,81.86,35.8,,,,
12317.689,82.07,42.4,,,,
12346.633,83.02,49,,,,
12378.522,85.38,55.2,,,,
12412.161,85,59.6,,,,
12446.856,84.08,61.5,,,,
12482.606,85.99,63.4,,,,
12519.3,85.67,65.3,,,,
12556.8,85.55,66.8,,,,
12594.995,86.21,68.2,,,,
12633.3,85.37,69.3,,,,
12671.411,85.48,68.6,,,,
